Name,Food Type,Address,Lat/Lon,Delivery?,Credit Card?,Owned By,Phone,Website,Dietary Restrictions,Minority Ownned,Order through web?,brown Tenant,Local
Apsara Palace,"Chinese, Cambodian, Thai","783 Hope St, Providence, RI 02906","41.84811905969583, -71.39506997839216",Yes: Grubhub,,,(401) 785-1490,https://m.facebook.com/Apsara-Palace-Hope-St-113488675352557/,,,,,
East Side Pockets ,"Falafel, gyros, wraps, baklava, grape leaves, salads","278 Thayer St, Providence, RI 02906","41.829571816876935, -71.40094582055923",Yes: Grubhub,,,(401) 453-1100,https://www.eastsidepocket.com/,,,,,
Flatbread,Pizza and salad,"161 Cushing St, Providence, RI 02906","41.829676, -71.400325",,,,(401) 273-2737,,,,,,
Heng Thai Rotisserie,Thai,"165 Angell St, Providence, RI 02906","41.82783710601299, -71.40122794005309",,,,(401) 751-1651,,,,,,
Hometown Poke,Poke,"185 Camp St, Providence, RI 02906","41.843547055960094, -71.40210886927623",,,,14018681247,,,,,,
Hope Street Pizza," Pizza, burgers, sandwiches","772 Hope St, Providence, RI 02906","41.84793048039326, -71.3956706834104",,,,,,,,,,
Ivy Tavern,,"758 Hope St, Providence, RI 02906","41.84763760602716, -71.39584137232205",Yes,,,,https://www.orderivytavernri.com/,,,,,
Kabob and Curry (Indian),,"261 Thayer St, Providence, RI 02906","41.82893016980977, -71.40062272501669",Yes,,,,https://www.kabobandcurry.com/,,,,,
Khaosan Thai Street Food,,"332 Warren Ave, East Providence, RI 02914","41.81377592759558, -71.36992374979653",Yes,,,,http://www.khaosanri.com/,,,,,
Lims (Thai and Sushi),,"18 S Angell St, Providence, RI 02906","41.813774928041084, -71.36991704427133",Yes,,,,http://limsri.org/,,,,,
Machupicchu Restaurant (Peruvian),,"651 Admiral St, Providence, RI 02908","41.848959, -71.438299",Yes,,,(401) 831-5925,https://m.facebook.com/machu2606/,,,,,
Noodles 102,,"102 Ives St, Providence, RI 02906","41.821056, -71.391897",,,,,https://www.noodles102.com/,,,,,
Not Just Snacks (Indian),,"833 Hope St, Providence, RI 02906","41.849841, -71.394567",,,,,http://www.notjustsnacks.com/,,,,,
Pasta Beach (Italian),,"195 Wayland Ave, Providence, RI 02906","41.829456, -71.388132",,,,,http://www.pastabeach.com/,,,,,
Pho Horn’s (Vietnamese),,"50 Ann Mary St, Pawtucket, RI 02860","41.857346, -71.401565",,,,,http://www.phohornspawtucket.com/?utm_source=gmb&utm_medium=website,,,,,
Piemonte Pizza,,"114 Doyle Ave, Providence, RI 02906","41.838817, -71.403818",,,,,http://www.piemontepizza.com/,,,,,
Pizza Pie-er (pizza),,"374 Wickenden St, Providence, RI 02903","41.819689, -71.395778",,,,,http://www.pizzapie-er.com/,,,,,
Plant City (vegan),,"334 S Water St, Providence, RI 02903","41.820870, -71.404361",,,,,http://plantcitypvd.com/,,,,,
Pokeworks (Poke),,"213 Thayer St, Providence, RI 02906","41.827470, -71.400463",,,,,https://www.pokeworks.com/,,,,,
Saladworks,,"75 Fountain St, Providence, RI 02902","41.824202, -71.415362",,,,,https://saladworks.com/?y_source=1_MTQ5OTA2MDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,
"The District (wings, pizza)",,"54 South St, Providence, RI 02903","41.817439, -71.407595",,,,,http://thedistrictri.com/,,,,,
Wara Wara (Japanese fusion),,"776 Hope St, Providence, RI 02906","41.847986, -71.395555",,,,,http://www.warawarari.com/,,,,,
Xaco Taco (burritos and tacos),,"370 Richmond St, Providence, RI 02903","41.816995, -71.407442",,,,,https://www.xacotacori.com/,,,,,
"Yoleni’s (Greek, Mediterranean)",,"292 Westminster St, Providence, RI 02903","41.822093, -71.413450",,,,,https://providence.yolenis.com/,,,,,
